"Időbélyeg"," Mi a kutyája fajtája?","Milyen idős a kutyája?","Milyen színekből áll a kutyája szőre?","Mekkora a kutyája? ","Mekkora a kutyája eledeligénye?","Milyen hosszú a kutyája szőre?","Mennyire göndör a kutyája szőre?","Mennyi ápolást igényel a kutyája?","Milyen gyakran kell a kutyája után a levedlett szőrt eltakarítania?","Mennyi mozgást igényel a kutyája?","Mennyire játékos a kutyája?","Mennyire tanulékony a kutyája? ","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta kisgyermekes családok számára?","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta macskával is rendelkező családok számára?","Milyen gyakran volt egészségügyi problémája a kutyájának?","Mennyire szokott hangos lenni a kutyája?","Mennyire tűri jól a kutyája az egyedüllétet?","Mennyire jellemző a kutyájára, hogy amikor veszélyt érez, megpróbálja megvédeni önt?"
"2024/02/01 6:44:28 du. EET","Rottweiler","Kölyök","fekete;barna","4","3","3","1","2","4","5","5","4","5","4","2","2","5","5"
"2024/02/01 6:44:29 du. EET","Ausztrál juhászkutya","Középkorú","fekete","3","3","4","1","4","5","5","5","5","3","5","1","3","4","5"
"2024/02/01 6:44:42 du. EET","Malinois","Középkorú","vörös","4","5","3","1","1","1","5","5","5","1","1","1","3","3","1"
"2024/02/01 6:44:46 du. EET","Keverék","Idős","sárgásbarna","4","4","3","1","1","2","4","4","3","5","2","1","3","4","5"
"2024/02/01 6:44:50 du. EET","Komondor","Középkorú","fehér","5","4","5","5","4","3","5","4","5","5","1","2","3","3","5"
"2024/02/01 6:45:30 du. EET","Rottweiler","Középkorú","fekete;barna","4","5","3","2","3","5","5","5","5","5","5","3","3","2","3"
"2024/02/01 6:45:33 du. EET","Beagle","Középkorú","fekete;fehér;barna","2","2","1","1","3","5","5","3","5","5","5","2","3","2","1"
"2024/02/01 6:46:15 du. EET","Puli","Kölyök","fekete","2","3","3","5","3","1","5","5","5","5","3","1","3","3","3"
"2024/02/01 6:46:16 du. EET","Bichon","Kölyök","krémszínű","2","3","2","2","3","1","4","3","4","4","4","1","3","3","1"
"2024/02/01 6:46:17 du. EET","Puli","Középkorú","fekete","2","2","4","3","4","3","3","5","5","5","2","2","2","2","5"
"2024/02/01 6:46:36 du. EET","Schnauzer","Középkorú","fekete;fehér","2","1","2","1","3","1","2","5","5","5","1","1","5","5","4"
"2024/02/01 6:46:42 du. EET","Csivava","Középkorú","fehér;sárgásbarna;vörös","2","2","5","3","3","3","3","1","4","4","4","1","1","3","3"
"2024/02/01 6:46:47 du. EET","foxterrier","Középkorú","fekete;fehér;barna","2","4","3","4","2","2","4","3","3","2","2","2","2","1","1"
"2024/02/01 6:46:51 du. EET","Bichon","Középkorú","krémszínű","2","1","4","1","5","1","2","3","3","4","2","1","2","2","2"
"2024/02/01 6:47:15 du. EET","Labrador retriever","Középkorú","fekete","4","4","3","1","2","4","4","4","5","5","3","1","2","5","3"
"2024/02/01 6:47:16 du. EET","Labrador retriever","Középkorú","sárgásbarna","3","4","1","1","2","3","4","5","4","5","1","2","2","4","3"
"2024/02/01 6:47:56 du. EET","Bichon","Idős","fehér","3","4","3","3","3","1","3","3","3","5","4","2","2","2","2"
"2024/02/01 6:47:58 du. EET","Keverék","Idős","fekete;fehér","2","2","2","1","2","2","2","1","5","5","1","1","3","5","1"
"2024/02/01 6:48:07 du. EET","Schnauzer","Kölyök","fekete","5","5","4","3","4","4","5","4","5","5","1","2","2","2","3"
"2024/02/01 6:48:11 du. EET","Bichon","Középkorú","krémszínű","3","3","2","2","3","1","3","4","4","5","2","2","2","4","5"
"2024/02/01 6:48:14 du. EET","Komondor","Kölyök","fehér","5","3","5","5","4","1","5","5","5","5","5","1","4","4","5"
"2024/02/01 6:48:28 du. EET","Shiba Inu","Középkorú","fekete;fehér;barna;sárgásbarna;vörös","2","1","2","1","1","5","4","2","5","2","1","2","1","5","1"
"2024/02/01 6:48:41 du. EET","Puli","Középkorú","fehér","3","4","4","4","3","5","4","4","4","5","5","3","3","4","5"
"2024/02/01 6:48:55 du. EET","Csivava","Kölyök","fekete;barna","1","3","2","1","2","2","3","4","3","4","5","3","1","3","5"
"2024/02/01 6:49:05 du. EET","Komondor","Kölyök","fehér","4","4","4","4","2","4","3","4","4","5","3","2","5","5","5"
"2024/02/01 6:49:26 du. EET","Labrador retriever","Kölyök","barna","4","4","3","1","1","2","5","5","5","5","5","1","1","3","3"
"2024/02/01 6:49:37 du. EET","Bichon","Középkorú","fekete;krémszínű","3","4","4","2","3","4","4","4","2","5","4","2","4","3","3"
"2024/02/01 6:50:08 du. EET","Uszkár","Idős","fekete","2","1","3","5","5","1","2","3","5","5","5","3","1","3","1"
"2024/02/01 6:50:17 du. EET","Labrador retriever","Kölyök","sárgásbarna","4","5","4","1","2","5","3","5","5","5","5","2","1","3","1"
"2024/02/01 6:50:26 du. EET","Bichon","Idős","fekete;fehér;krémszínű","2","2","2","3","5","1","3","3","5","5","1","3","1","5","4"
"2024/02/01 6:50:36 du. EET","Bichon","Középkorú","fekete;fehér;szürke","3","4","5","3","5","2","5","5","3","4","1","1","5","3","4"
"2024/02/01 6:50:58 du. EET","Labrador retriever","Kölyök","barna","2","5","3","3","1","5","5","5","5","5","5","3","3","5","1"
"2024/02/01 6:51:43 du. EET","Uszkár","Kölyök","fekete","2","1","4","5","5","1","4","5","5","5","5","2","1","4","1"
"2024/02/01 6:52:42 du. EET","Border collie","Kölyök","fekete;fehér","3","4","5","1","2","3","5","5","5","5","2","1","3","3","1"
"2024/02/01 6:52:43 du. EET","Labrador retriever","Kölyök","krémszínű","4","4","2","1","3","3","4","4","4","5","5","1","2","3","4"
"2024/02/01 6:52:53 du. EET","Mopsz","Középkorú","barna","2","3","1","1","3","3","2","5","4","5","5","1","2","5","1"
"2024/02/01 6:53:11 du. EET","Bullterrier","Idős","fekete;fehér","2","3","2","1","1","4","4","5","2","4","1","5","1","5","2"
"2024/02/01 6:53:48 du. EET","Cocker spániel","Idős","fekete","3","2","3","1","3","4","3","2","3","3","1","4","2","3","4"
"2024/02/01 6:54:10 du. EET","Cocker spániel","Középkorú","fekete","1","1","3","4","3","4","3","5","2","4","3","1","4","2","4"
"2024/02/01 6:54:20 du. EET","Tacskó","Középkorú","fekete;sárgásbarna","1","1","1","1","1","1","2","2","4","5","2","2","3","5","3"
"2024/02/01 6:54:39 du. EET","Dobermann","Kölyök","fekete;barna","4","4","1","1","1","3","5","5","4","3","3","1","5","2","5"
"2024/02/01 6:54:53 du. EET","Komondor","Kölyök","fehér","5","5","5","4","3","3","3","3","4","5","5","3","2","5","5"
"2024/02/01 6:55:27 du. EET","Komondor","Középkorú","fehér","5","3","4","5","2","1","3","5","5","5","4","1","1","4","5"
"2024/02/01 6:55:41 du. EET","Malinois","Idős","barna;vörös","3","4","2","1","1","5","5","5","5","3","3","2","2","3","4"
"2024/02/01 6:55:47 du. EET","Német juhászkutya","Középkorú","fekete","5","4","3","2","1","3","5","5","5","5","5","3","1","5","5"
"2024/02/01 6:55:55 du. EET","Komondor","Középkorú","fehér","5","3","5","1","3","2","3","4","5","4","1","2","2","5","5"
"2024/02/01 6:56:02 du. EET","Bichon","Idős","fekete;fehér","2","3","5","2","5","1","2","5","5","5","5","3","3","2","1"
"2024/02/01 6:56:38 du. EET","Tibeti terrier","Középkorú","fehér;sárgásbarna;krémszínű","3","3","3","2","5","5","5","5","5","4","1","1","2","2","4"
"2024/02/01 6:56:50 du. EET","Bichon","Kölyök","fekete","1","4","3","3","5","1","3","5","5","5","3","2","4","3","4"
"2024/02/01 6:57:04 du. EET","Bichon","Középkorú","fehér;krémszínű","1","2","3","1","4","1","4","5","5","5","5","1","3","2","3"
"2024/02/01 6:57:06 du. EET","Komondor","Kölyök","fehér","4","3","4","4","3","1","3","4","4","3","4","3","3","4","5"
"2024/02/01 6:57:54 du. EET","Francia bulldog","Középkorú","fekete;barna;vörös;krémszínű","2","2","1","1","3","4","3","5","5","5","3","2","2","3","3"
"2024/02/01 6:58:09 du. EET","Dobermann","Középkorú","fekete;sárgásbarna","4","5","1","1","1","2","4","5","3","4","2","2","4","2","4"
"2024/02/01 6:58:32 du. EET","Komondor","Középkorú","fehér","5","2","5","4","1","1","2","5","4","5","4","1","3","5","4"
"2024/02/01 6:59:01 du. EET","Shiba Inu","Középkorú","fekete;vörös","3","3","3","1","2","2","4","5","5","2","5","1","3","4","4"
"2024/02/01 6:59:03 du. EET","Keverék","Középkorú","fekete;fehér","3","3","5","2","1","4","5","5","4","5","4","2","2","3","5"
"2024/02/01 6:59:08 du. EET","Puli","Középkorú","fekete","2","2","4","5","1","2","3","3","3","5","5","4","1","2","5"
"2024/02/01 6:59:41 du. EET","Bichon","Idős","fehér;szürke","3","4","4","2","2","2","3","3","3","4","2","3","3","3","2"
"2024/02/01 6:59:57 du. EET","Német juhászkutya","Középkorú","fekete;fehér;barna;sárgásbarna","3","3","1","1","1","3","3","4","5","5","1","2","3","5","4"
"2024/02/01 7:00:26 du. EET","Bichon","Kölyök","fehér;barna;krémszínű","2","3","3","2","5","2","3","4","3","5","1","2","4","2","3"
"2024/02/01 7:00:58 du. EET","Puli","Középkorú","fekete","2","3","5","4","1","1","5","4","5","5","5","1","4","5","3"
"2024/02/01 7:01:17 du. EET","Máltai selyemkutya","Középkorú","fehér","2","3","3","3","5","1","2","3","5","5","5","2","4","3","5"
"2024/02/01 7:01:30 du. EET","Komondor","Középkorú","fehér","5","2","3","3","1","1","3","3","5","5","5","1","2","5","4"
"2024/02/01 7:01:38 du. EET","Bichon","Középkorú","fehér","2","2","3","2","3","1","3","4","4","5","2","2","5","4","2"
"2024/02/01 7:01:42 du. EET","Komondor","Középkorú","fehér","4","4","5","3","4","3","5","5","5","5","2","2","4","3","5"
"2024/02/01 7:01:49 du. EET","Malinois","Idős","fekete;fehér;vörös","3","3","3","1","1","5","4","4","4","4","3","3","4","3","2"
"2024/02/01 7:02:02 du. EET","Rottweiler","Kölyök","fekete","5","5","1","1","2","1","5","5","5","5","3","1","1","5","5"
"2024/02/01 7:02:02 du. EET","foxterrier","Középkorú","fekete;fehér;sárgásbarna","3","2","4","1","4","1","5","5","4","4","1","1","2","3","5"
"2024/02/01 7:03:10 du. EET","Bichon","Kölyök","fekete;fehér","2","2","3","3","4","2","4","5","4","4","3","2","3","4","3"
"2024/02/01 7:03:23 du. EET","Labrador retriever","Kölyök","barna","4","4","2","1","1","5","5","5","5","5","5","2","3","3","1"
"2024/02/01 7:03:43 du. EET","Shar pei","Középkorú","sárgásbarna","4","4","1","1","3","3","5","5","5","5","5","3","1","5","3"
"2024/02/01 7:03:45 du. EET","Csivava","Idős","barna","1","2","1","1","1","1","3","1","5","3","3","1","1","1","1"
"2024/02/01 7:04:01 du. EET","Komondor","Középkorú","fehér","5","5","5","3","3","1","4","4","4","5","1","2","3","3","4"
"2024/02/01 7:04:05 du. EET","Komondor","Kölyök","fehér","5","3","3","4","3","5","5","5","5","3","5","1","1","3","5"
"2024/02/01 7:04:09 du. EET","Bichon","Idős","fehér;szürke;barna;krémszínű","1","1","2","2","3","1","2","2","5","3","5","2","2","4","2"
"2024/02/01 7:04:09 du. EET","Bichon","Középkorú","fekete;fehér","2","2","2","2","4","1","3","4","5","5","4","2","2","4","1"
"2024/02/01 7:04:18 du. EET","Bichon","Középkorú","fehér;krémszínű","2","2","3","3","4","2","2","3","4","5","4","3","2","3","3"
"2024/02/01 7:04:52 du. EET","Francia bulldog","Idős","fekete;fehér;barna","4","3","2","1","3","5","2","5","2","5","4","4","2","5","4"
"2024/02/01 7:04:54 du. EET","Bichon","Középkorú","fekete;fehér","2","2","3","2","4","1","3","5","5","5","3","2","1","4","3"
"2024/02/01 7:05:23 du. EET","Keverék","Idős","fekete","4","3","4","1","1","5","3","4","5","5","5","3","1","3","5"
"2024/02/01 7:05:28 du. EET","Labrador retriever","Középkorú","krémszínű","5","5","4","5","4","5","4","3","4","5","1","3","3","3","2"
"2024/02/01 7:05:28 du. EET","Francia bulldog","Középkorú","fekete;fehér","3","5","1","1","1","4","3","5","3","5","3","3","2","2","3"
"2024/02/01 7:05:41 du. EET","Border collie","Középkorú","fehér;vörös","3","3","5","3","5","5","4","4","5","4","5","3","1","2","2"
"2024/02/01 7:06:09 du. EET","Shiba Inu","Kölyök","fehér;sárgásbarna","4","4","3","2","1","1","4","5","5","5","3","1","3","4","5"
"2024/02/01 7:06:35 du. EET","Keverék","Középkorú","fekete;fehér;barna","2","3","1","1","2","1","3","3","3","5","1","1","1","1","4"
"2024/02/01 7:06:36 du. EET","Bichon","Középkorú","fekete;fehér","2","1","2","2","3","1","2","4","3","5","4","1","2","3","3"
"2024/02/01 7:06:44 du. EET","Csivava","Középkorú","fehér;barna","1","1","1","1","1","1","2","3","2","3","3","2","3","3","3"
"2024/02/01 7:06:54 du. EET","Labrador retriever","Középkorú","fekete;barna","4","4","1","1","5","4","5","5","4","5","5","1","4","4","5"
"2024/02/01 7:06:55 du. EET","Csivava","Középkorú","fekete;fehér","2","3","2","1","5","5","4","4","4","4","4","2","2","3","5"
"2024/02/01 7:06:56 du. EET","Csivava","Középkorú","fekete;fehér;barna","1","2","2","1","1","1","3","4","2","3","1","1","3","3","2"
"2024/02/01 7:07:21 du. EET","Bichon","Középkorú","fehér","2","2","4","3","3","1","3","4","2","5","4","2","4","3","5"
"2024/02/01 7:07:27 du. EET","Basset hound","Középkorú","fekete;fehér;barna","3","5","2","1","2","3","4","3","3","5","5","2","3","1","3"
"2024/02/01 7:07:30 du. EET","Tacskó","Középkorú","barna","2","2","1","1","1","2","4","5","5","5","3","2","2","2","5"
"2024/02/01 7:07:35 du. EET","Akita","Idős","sárgásbarna","4","4","2","1","4","4","5","3","5","5","1","2","2","4","4"
"2024/02/01 7:07:36 du. EET","Bichon","Középkorú","fehér","2","3","3","3","5","1","3","3","5","5","3","2","3","5","2"
"2024/02/01 7:07:44 du. EET","Bullterrier","Kölyök","fehér","3","3","1","1","2","3","3","5","5","5","5","3","1","5","1"
"2024/02/01 7:07:46 du. EET","Bichon","Kölyök","fekete;fehér","3","3","3","1","3","2","3","5","5","5","4","2","2","4","4"
"2024/02/01 7:08:02 du. EET","Bichon","Kölyök","fekete","3","3","4","3","4","1","4","5","4","4","4","3","4","1","3"
"2024/02/01 7:08:27 du. EET","Basset hound","Középkorú","fehér;barna","2","4","2","1","2","3","3","3","3","5","5","2","2","1","3"
"2024/02/01 7:08:44 du. EET","Amerikai staffordshire terrier","Kölyök","fekete;fehér;barna;sárgásbarna","4","5","1","1","1","1","4","5","5","5","1","1","4","2","2"
"2024/02/01 7:08:48 du. EET","Border collie","Kölyök","fehér;barna","4","5","3","3","3","2","5","5","5","2","4","2","3","3","3"
"2024/02/01 7:09:06 du. EET","Bichon","Középkorú","fehér;krémszínű","2","3","2","3","4","1","3","3","4","2","3","2","1","2","4"
"2024/02/01 7:09:11 du. EET","Komondor","Kölyök","fehér","5","3","3","3","1","2","5","5","4","5","5","1","3","5","5"
"2024/02/01 7:09:18 du. EET","Újfundlandi","Idős","fekete","5","3","5","2","4","5","4","3","5","4","5","4","3","5","5"
"2024/02/01 7:10:22 du. EET","Border collie","Középkorú","fekete;fehér","3","1","5","2","5","5","5","5","5","5","1","3","3","2","5"
"2024/02/01 7:10:25 du. EET","Puli","Kölyök","fekete","2","4","3","2","3","1","5","5","5","4","1","1","4","2","5"
"2024/02/01 7:11:24 du. EET","Shiba Inu","Idős","fekete;fehér","2","3","2","1","3","4","4","4","5","3","1","1","2","3","2"
"2024/02/01 7:11:29 du. EET","Komondor","Középkorú","fehér","5","3","3","2","2","1","2","2","5","5","5","1","1","3","5"
"2024/02/01 7:11:44 du. EET","Bullterrier","Kölyök","fehér;barna","3","3","2","1","2","3","4","5","5","5","3","1","1","5","4"
"2024/02/01 7:11:58 du. EET","Bichon","Középkorú","fekete;fehér;krémszínű","2","1","2","1","2","1","3","3","4","4","5","2","2","3","3"
"2024/02/01 7:13:03 du. EET","Puli","Kölyök","fekete;fehér","3","3","5","4","4","2","5","5","5","5","2","1","2","2","5"
"2024/02/01 7:13:20 du. EET","Puli","Középkorú","fehér;szürke","3","3","5","2","4","5","5","5","5","3","1","2","4","3","3"
"2024/02/01 7:13:26 du. EET","Schnauzer","Középkorú","fehér;szürke","2","2","3","3","5","1","4","4","4","5","2","1","3","4","4"
"2024/02/01 7:14:17 du. EET","Keverék","Középkorú","fekete;fehér;szürke;krémszínű","2","3","3","3","2","1","4","5","5","5","2","2","2","3","3"
"2024/02/01 7:14:35 du. EET","Malinois","Kölyök","fekete;barna;sárgásbarna;vörös","4","3","3","1","1","2","5","5","5","3","3","2","2","5","5"
"2024/02/01 7:14:49 du. EET","Bichon","Kölyök","fehér;barna","2","2","4","3","4","1","2","3","5","4","5","2","2","5","2"
"2024/02/01 7:15:00 du. EET","Bullterrier","Kölyök","fehér","3","4","2","1","1","2","4","5","2","4","1","2","3","4","4"
"2024/02/01 7:15:22 du. EET","Bichon","Középkorú","fehér","2","2","4","3","5","1","2","4","5","5","3","1","3","4","2"
"2024/02/01 7:15:34 du. EET","Komondor","Kölyök","fehér","5","5","5","5","2","1","5","5","5","5","5","1","3","3","5"
"2024/02/01 7:16:18 du. EET","Komondor","Középkorú","fehér","5","3","3","3","2","2","4","3","5","5","5","2","2","3","5"
"2024/02/01 7:16:19 du. EET","Labrador retriever","Középkorú","sárgásbarna;krémszínű","4","3","2","1","1","2","4","5","5","5","3","2","3","3","5"
"2024/02/01 7:16:21 du. EET","Csivava","Kölyök","fekete;barna;sárgásbarna","1","1","1","1","1","3","5","5","5","3","5","3","3","2","5"
"2024/02/01 7:16:21 du. EET","Bichon","Középkorú","fekete;fehér;szürke","3","2","3","1","4","1","1","5","5","1","5","4","3","1","5"
"2024/02/01 7:16:56 du. EET","Labrador retriever","Kölyök","barna","4","4","2","1","4","3","5","5","5","5","2","1","1","3","1"
"2024/02/01 7:17:30 du. EET","Csivava","Kölyök","fehér;barna;krémszínű","2","1","1","1","1","1","2","5","5","4","3","1","1","1","4"
"2024/02/01 7:17:32 du. EET","Komondor","Középkorú","fehér","5","3","4","5","2","1","2","2","5","5","3","2","3","5","5"
"2024/02/01 7:17:34 du. EET","foxterrier","Középkorú","fekete;fehér;barna","5","3","3","2","4","5","5","5","5","2","5","4","2","4","3"
"2024/02/01 7:17:37 du. EET","Bichon","Középkorú","fekete;fehér;szürke","3","4","3","2","2","1","4","5","4","4","2","4","3","4","3"
"2024/02/01 7:17:57 du. EET","Bichon","Középkorú","szürke;sárgásbarna","2","3","3","2","3","1","3","5","4","5","5","1","1","5","4"
"2024/02/01 7:18:06 du. EET","Bichon","Középkorú","fehér","1","2","3","1","3","1","2","2","5","2","1","2","1","5","4"
"2024/02/01 7:18:53 du. EET","Labrador retriever","Középkorú","barna;krémszínű","5","5","1","1","1","5","2","3","5","5","5","3","3","3","4"
"2024/02/01 7:18:58 du. EET","Shiba Inu","Középkorú","fekete;fehér;sárgásbarna;vörös","3","3","2","1","3","5","3","4","5","3","5","3","1","3","4"
"2024/02/01 7:19:07 du. EET","Újfundlandi","Kölyök","fekete","5","3","5","3","3","5","4","5","5","5","5","1","2","3","5"
"2024/02/01 7:19:20 du. EET","Német juhászkutya","Idős","fekete;barna;sárgásbarna","4","4","4","1","3","5","4","4","5","5","3","3","3","3","5"
"2024/02/01 7:19:26 du. EET","Ausztrál juhászkutya","Középkorú","fehér;barna;sárgásbarna","4","3","3","2","2","5","5","5","5","5","4","1","3","3","2"
"2024/02/01 7:19:41 du. EET","Csivava","Középkorú","barna","2","1","1","1","1","1","3","5","4","5","5","1","1","5","1"
"2024/02/01 7:20:19 du. EET","Tacskó","Középkorú","fekete;barna","2","3","3","1","3","4","4","5","4","3","2","2","3","3","3"
"2024/02/01 7:20:51 du. EET","Újfundlandi","Kölyök","fekete","5","5","3","1","3","3","3","5","4","5","3","2","2","4","5"
"2024/02/01 7:21:07 du. EET","Keverék","Kölyök","fekete;fehér;barna;krémszínű","3","3","4","1","1","3","4","4","5","3","3","2","2","4","3"
"2024/02/01 7:21:35 du. EET","Bichon","Középkorú","fekete;fehér;sárgásbarna","2","3","2","1","5","1","3","5","5","5","3","1","2","5","1"
"2024/02/01 7:22:18 du. EET","Schnauzer","Kölyök","szürke","5","5","1","1","3","2","5","5","5","2","5","1","5","5","5"
"2024/02/01 7:23:17 du. EET","Border collie","Középkorú","fekete;fehér;sárgásbarna","3","5","4","1","3","5","5","5","5","4","4","2","2","5","1"
"2024/02/01 7:24:42 du. EET","Csivava","Középkorú","fekete;fehér;krémszínű","2","3","1","1","1","1","3","3","2","1","4","2","1","3","1"
"2024/02/01 7:24:45 du. EET","Csivava","Középkorú","fehér","1","1","5","2","4","5","3","3","4","3","3","2","3","4","2"
"2024/02/01 7:25:18 du. EET","Border collie","Középkorú","szürke","3","3","5","3","5","5","5","5","5","5","5","2","2","4","4"
"2024/02/01 7:25:18 du. EET","Malinois","Középkorú","sárgásbarna","4","3","2","1","1","1","5","4","4","3","2","2","2","4","5"
"2024/02/01 7:25:47 du. EET","Puli","Középkorú","fekete","4","3","4","5","3","2","4","5","4","5","2","3","4","4","5"
"2024/02/01 7:26:36 du. EET","Keverék","Középkorú","fekete;szürke","1","1","4","1","4","1","4","4","5","3","1","4","4","4","4"
"2024/02/01 7:26:49 du. EET","Border collie","Középkorú","fekete;fehér;szürke","3","3","3","1","3","5","5","4","5","4","5","2","2","5","2"
"2024/02/01 7:26:52 du. EET","Rottweiler","Kölyök","fekete;sárgásbarna","4","3","2","1","2","3","4","4","4","4","3","2","2","3","5"
"2024/02/01 7:26:54 du. EET","Shiba Inu","Középkorú","barna;sárgásbarna;vörös","2","4","2","1","2","1","5","4","4","2","3","3","4","5","3"
"2024/02/01 7:27:14 du. EET","Komondor","Középkorú","fehér","5","4","5","5","4","2","4","2","2","5","2","5","4","5","5"
"2024/02/01 7:27:18 du. EET","Border collie","Középkorú","fekete;fehér","3","3","4","1","4","4","5","5","5","5","5","1","2","3","3"
"2024/02/01 7:27:21 du. EET","Komondor","Középkorú","fehér","5","4","4","3","2","4","3","3","4","4","3","2","2","5","5"
"2024/02/01 7:28:22 du. EET","Border collie","Középkorú","fekete;fehér","3","3","5","4","4","5","4","4","5","5","5","4","3","1","4"
"2024/02/01 7:28:23 du. EET","Dán dog","Középkorú","fekete;fehér;szürke","5","4","1","1","1","1","3","3","4","4","4","2","2","5","5"
"2024/02/01 7:28:44 du. EET","Bichon","Középkorú","fekete","2","1","4","3","4","1","3","5","5","5","5","2","1","5","3"
"2024/02/01 7:28:53 du. EET","Puli","Középkorú","fekete;fehér","3","3","4","5","3","2","4","4","5","5","5","1","4","5","5"
"2024/02/01 7:29:04 du. EET","Puli","Középkorú","szürke","3","1","4","4","4","3","4","4","5","5","5","2","1","3","3"
"2024/02/01 7:29:22 du. EET","Bullterrier","Középkorú","fekete;fehér;barna","2","4","2","1","1","2","4","4","3","4","1","1","3","3","3"
"2024/02/01 7:29:41 du. EET","Dobermann","Középkorú","fekete;barna","5","2","1","1","1","5","5","5","5","5","5","3","3","3","2"
"2024/02/01 7:31:33 du. EET","Komondor","Kölyök","fehér","4","4","4","3","3","2","3","5","3","4","3","1","5","4","3"
"2024/02/01 7:31:51 du. EET","Beagle","Középkorú","fekete;fehér;barna","3","3","3","1","2","5","5","5","5","5","3","2","1","1","5"
"2024/02/01 7:31:54 du. EET","Csivava","Kölyök","fekete;fehér;sárgásbarna","2","3","1","1","3","1","4","5","4","2","4","2","2","2","2"
"2024/02/01 7:32:15 du. EET","Bullterrier","Idős","fehér;barna","3","3","1","1","1","3","1","4","3","5","2","2","1","5","3"
"2024/02/01 7:32:17 du. EET","Bichon","Idős","fehér;szürke;barna","2","3","3","2","4","2","4","4","4","5","3","3","1","4","4"
"2024/02/01 7:32:19 du. EET","Basset hound","Középkorú","fekete;fehér;barna","3","3","2","1","1","4","2","4","4","5","2","3","3","1","3"
"2024/02/01 7:32:46 du. EET","Shar pei","Idős","fehér","3","3","2","1","1","3","3","2","4","5","1","4","1","2","4"
"2024/02/01 7:32:51 du. EET","Puli","Idős","fekete","3","2","3","4","4","1","5","5","5","4","4","3","4","3","5"
"2024/02/01 7:32:58 du. EET","Komondor","Középkorú","fehér","5","4","5","5","2","3","3","5","5","5","4","1","5","4","5"
"2024/02/01 7:34:25 du. EET","Labrador retriever","Középkorú","fekete","4","3","3","1","3","5","4","4","4","5","5","1","1","3","4"
"2024/02/01 7:34:34 du. EET","Labrador retriever","Középkorú","krémszínű","3","4","3","2","1","5","4","5","5","5","4","2","3","5","5"
"2024/02/01 7:35:03 du. EET","Keverék","Középkorú","fekete;barna","2","2","1","1","1","2","5","5","5","4","2","2","3","1","3"
"2024/02/01 7:36:48 du. EET","Német juhászkutya","Középkorú","fekete;szürke;barna;sárgásbarna;vörös","4","3","3","1","1","2","5","5","5","3","1","1","3","4","1"
"2024/02/01 7:36:49 du. EET","Malinois","Középkorú","fekete;barna;vörös","5","5","3","1","3","3","5","5","5","2","2","3","3","3","5"
"2024/02/01 7:37:09 du. EET","Komondor","Középkorú","fehér","5","4","4","1","3","1","3","4","5","5","2","4","5","3","5"
"2024/02/01 7:37:15 du. EET","Labrador retriever","Középkorú","fekete","3","3","3","2","3","4","4","5","5","5","3","2","1","1","5"
"2024/02/01 7:37:18 du. EET","Komondor","Idős","fehér","4","2","5","5","3","1","3","1","2","2","3","1","2","5","4"
"2024/02/01 7:37:22 du. EET","Komondor","Középkorú","fehér","5","4","3","3","1","1","4","3","5","5","1","1","2","5","5"
"2024/02/01 7:37:23 du. EET","Bichon","Kölyök","fekete;fehér;szürke","2","3","3","1","4","1","3","4","4","5","3","1","2","2","3"
"2024/02/01 7:37:35 du. EET","Puli","Kölyök","fehér;szürke","3","2","3","4","4","2","5","5","4","4","3","2","5","2","2"
"2024/02/01 7:37:58 du. EET","Ír szetter","Középkorú","fehér;vörös","4","4","4","3","3","5","5","4","4","2","1","1","4","5","5"
"2024/02/01 7:38:24 du. EET","Puli","Kölyök","fekete","3","4","4","3","4","5","5","5","4","3","1","2","4","3","3"
"2024/02/01 7:39:00 du. EET","Tibeti terrier","Középkorú","fekete;fehér","3","2","5","2","4","3","2","4","4","3","4","4","2","5","3"
"2024/02/01 7:39:14 du. EET","Puli","Középkorú","fekete","2","2","3","5","3","2","4","4","5","4","4","2","5","3","4"
"2024/02/01 7:39:56 du. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;szürke;barna","3","3","4","2","4","5","5","5","5","3","4","2","1","5","1"
"2024/02/01 7:40:07 du. EET","Német juhászkutya","Kölyök","fekete;fehér;barna","4","5","4","1","4","5","4","5","5","3","3","2","4","4","4"
"2024/02/01 7:40:12 du. EET","Bichon","Idős","barna;sárgásbarna","2","3","3","3","4","1","2","4","4","5","3","3","1","4","3"
"2024/02/01 7:40:36 du. EET","Puli","Középkorú","fekete","3","3","3","4","4","3","5","5","5","4","4","1","4","4","5"
"2024/02/01 7:41:02 du. EET","Rottweiler","Középkorú","fekete;vörös","5","5","3","1","2","5","5","3","5","4","4","2","4","5","5"
"2024/02/01 7:41:16 du. EET","Komondor","Kölyök","fehér","4","4","3","1","2","1","2","2","4","4","2","1","4","3","2"
"2024/02/01 7:41:20 du. EET","Border collie","Középkorú","fekete;fehér","3","3","5","3","3","4","4","5","5","3","5","1","2","5","5"
"2024/02/01 7:41:36 du. EET","Jack Russell terrier","Kölyök","fehér;barna","3","3","2","1","1","1","5","5","4","2","1","1","4","1","4"
"2024/02/01 7:41:39 du. EET","Bichon","Középkorú","fehér;krémszínű","2","2","2","2","5","1","2","3","3","5","1","3","1","4","3"
